                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5263,                 2.6315,                 1.4171,                0.45715,                0.25038,                0.24687,                0.09856,                 1.9617,                 2.9961,                 1.5563,             0.00046839,             0.00046839,             0.00046839
                      2,                 1.5842,                 2.0137,                 1.4208,                0.41895,                 0.3284,                 0.3128,                 0.1644,                 1.8084,                 2.7366,                  1.555,             0.00092602,             0.00092602,             0.00092602
                      3,                 1.6158,                 1.8863,                 1.4463,                0.33351,                0.37162,                0.22963,                0.09426,                 2.0327,                 2.8069,                 1.7879,              0.0013648,              0.0013648,              0.0013648
                      4,                 1.6284,                 1.7799,                 1.4721,                0.52749,                0.31254,                0.33139,                0.14745,                 1.9526,                 2.5842,                 1.6146,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.5768,                 1.6262,                 1.4303,                0.50543,                0.48945,                 0.4808,                0.23151,                 1.7459,                 2.5256,                 1.4756,              0.0013441,              0.0013441,              0.0013441
                      6,                 1.5802,                 1.5232,                 1.4048,                0.63182,                  0.612,                0.60182,                0.30322,                 1.6607,                 1.5801,                 1.4282,              0.0013158,              0.0013158,              0.0013158
                      7,                 1.5615,                 1.4259,                 1.3939,                0.64229,                 0.6202,                0.66947,                0.34981,                 1.5819,                 1.4722,                 1.3594,              0.0012875,              0.0012875,              0.0012875
                      8,                 1.5234,                  1.383,                 1.3757,                0.75027,                0.67585,                0.73965,                0.38629,                 1.6451,                 1.3005,                 1.3879,              0.0012592,              0.0012592,              0.0012592
                      9,                 1.4889,                 1.2588,                 1.3527,                0.74087,                0.68245,                0.74332,                0.39035,                 1.5439,                 1.2727,                 1.3168,              0.0012309,              0.0012309,              0.0012309
                     10,                 1.4749,                 1.2194,                 1.3286,                0.70552,                0.67718,                0.71138,                 0.3845,                 1.5193,                  1.373,                 1.2897,              0.0012026,              0.0012026,              0.0012026
                     11,                 1.4523,                 1.1966,                 1.3212,                0.76552,                0.75896,                0.79095,                0.44599,                 1.4971,                 1.1103,                 1.2802,              0.0011744,              0.0011744,              0.0011744
                     12,                 1.4189,                 1.1264,                  1.308,                0.75113,                 0.7317,                0.76921,                 0.4164,                 1.5263,                 1.1982,                 1.3123,              0.0011461,              0.0011461,              0.0011461
                     13,                 1.3972,                  1.066,                 1.2844,                0.77286,                0.71739,                0.78508,                0.42126,                 1.5555,                 1.1617,                 1.3165,              0.0011178,              0.0011178,              0.0011178
                     14,                 1.4242,                 1.0722,                  1.299,                0.60696,                0.64481,                0.63788,                0.34493,                 1.5359,                 1.7022,                  1.344,              0.0010895,              0.0010895,              0.0010895
                     15,                 1.3806,                 1.0228,                 1.2774,                0.79559,                 0.7578,                0.82061,                0.45897,                 1.5103,                 1.0148,                 1.2842,              0.0010612,              0.0010612,              0.0010612
                     16,                  1.357,                0.99161,                 1.2736,                0.74143,                  0.717,                0.75539,                0.41765,                   1.51,                 1.2094,                  1.277,              0.0010329,              0.0010329,              0.0010329
                     17,                 1.3534,                0.97391,                 1.2591,                0.81014,                0.81525,                0.85318,                0.48415,                 1.4406,                0.96791,                 1.2532,              0.0010046,              0.0010046,              0.0010046
                     18,                 1.3278,                0.93613,                  1.241,                0.82394,                0.76827,                0.82332,                0.47084,                 1.5055,                 1.0402,                 1.2788,             0.00097629,             0.00097629,             0.00097629
                     19,                 1.3256,                 0.9342,                  1.245,                0.84524,                0.83316,                0.87081,                0.49285,                 1.4365,                0.90504,                  1.238,               0.000948,               0.000948,               0.000948
                     20,                 1.3027,                0.90216,                 1.2302,                0.87219,                0.81627,                0.86781,                 0.5098,                    1.4,                0.88872,                 1.2254,              0.0009197,              0.0009197,              0.0009197
                     21,                 1.2965,                0.86955,                 1.2314,                0.83948,                0.82035,                0.87431,                0.51901,                 1.4235,                0.85509,                 1.2279,             0.00089141,             0.00089141,             0.00089141
                     22,                 1.2736,                0.85966,                 1.2185,                0.85481,                0.82183,                0.86265,                0.51051,                 1.4094,                0.91971,                 1.2295,             0.00086312,             0.00086312,             0.00086312
                     23,                  1.286,                0.85132,                 1.2242,                0.89474,                0.77703,                0.86217,                0.50772,                 1.4124,                0.89193,                 1.2394,             0.00083482,             0.00083482,             0.00083482
                     24,                 1.2755,                0.83599,                 1.2087,                0.87375,                0.82975,                0.88058,                0.52338,                 1.3918,                0.86212,                  1.217,             0.00080653,             0.00080653,             0.00080653
                     25,                 1.2608,                0.81642,                  1.206,                 0.8936,                0.85162,                0.89406,                0.53824,                 1.3587,                0.80684,                 1.1914,             0.00077823,             0.00077823,             0.00077823
                      1,                 1.1666,                0.73685,                  1.154,                0.86812,                0.85158,                0.90216,                0.55854,                 1.3439,                0.79876,                 1.1852,             0.00046839,             0.00046839,             0.00046839
