Year,Season,District,Paddy_Variety,Pest,Incidence_percent,Severity,Paddy_Age_Stage,Paddy_Age_Days,How_to_Reduce,Recommended_Fertilizers,Symptoms,How_to_Identify,Weather_Conditions,Soil_Conditions,Avg_Temp_C,Rainfall_mm,Humidity_%,Soil_pH,Soil_Moisture_%,Soil_Type,Organic_Matter_%
2015,Maha,Anuradhapura,Suwandel,Brown Planthopper (BPH),11.10021232,Moderate,Tillering -Panicle initiation,20-50,"Use resistant varieties, proper spacing, avoid excess nitrogen; apply Buprofezin/Imidacloprid if needed.",Balanced NPK; reduce excess urea; add organic matter.,"Hopperburn patches, yellowing leaves, stunted growth, wilting.",Check base of the plant for clusters of hoppers; tap plant to see hoppers jump.,"High humidity, low rainfall, high temperature (28–32°C)","Waterlogged fields, excess nitrogen fertilizers",28.72233788,281.4131598,88.50438626,6.63,69.03378466,Reddish Brown Earth,3.744854591
2015,Maha,Anuradhapura,BG 358,Brown Planthopper (BPH),9.206440998,Moderate,Tillering -Panicle initiation,20-50,"Use resistant varieties, proper spacing, avoid excess nitrogen; apply Buprofezin/Imidacloprid if needed.",Balanced NPK; reduce excess urea; add organic matter.,"Hopperburn patches, yellowing leaves, stunted growth, wilting.",Check base of the plant for clusters of hoppers; tap plant to see hoppers jump.,"High humidity, low rainfall, high temperature (28–32°C)","Waterlogged fields, excess nitrogen fertilizers",27.27933811,285.6883006,86.02690165,6.58,63.41908222,Reddish Brown Earth,2.101153417
2015,Maha,Anuradhapura,At 303,Paddy Bug,1.542491266,Low,Flowering -Grain filling,60-90,"Use sweep nets, neem sprays, maintain clean bunds.",Balanced fertilizer; avoid excess nitrogen.,,,Weather data not available,Soil data not available,28.87841246,240.6678737,79.97075514,6.39,62.25067424,Low Humic Gley,2.416992442
2015,Maha,Anuradhapura,Bg 94-1,Rice Gall Midge,4.877599303,Low,Seedling- Early tillering,0-25,"Use resistant varieties, remove weeds; apply Carbofuran at planting if severe.",Use basal NPK and add Potash.,,,Weather data not available,Soil data not available,27.7330419,286.8767974,76.9550739,6.05,68.08932416,Reddish Brown Earth,2.998945486
2015,Maha,Anuradhapura,At 303,Rice Gall Midge,1.490954848,Low,Seedling-Early tillering,0-25,"Use resistant varieties, remove weeds; apply Carbofuran at planting if severe.",Use basal NPK and add Potash.,,,Weather data not available,Soil data not available,25.96475024,266.1671901,80.0824532,6.46,71.0665656,Reddish Brown Earth,3.096353326
2015,Maha,Anuradhapura,Suwandel,Rice Leaf-folder,11.25775718,Moderate,Tillering -Booting,20-55,"Encourage predators, use light traps; apply Chlorantraniliprole if high damage.",Standard NPK + Zinc.,"Folded leaves, scraped leaf tissues, white streaks, reduced photosynthesis.",Inspect leaves for folding; open folds to find larvae inside.,"Moderate rainfall, cloudy warm weather","Well-drained soil, high nitrogen increases impact",28.03433734,241.1309035,89.32802028,6.45,72.05138117,Reddish Brown Earth,2.814920639
2015,Maha,Anuradhapura,BG 358,Rice Leaf-folder,11.59207242,Moderate,Tillering -Booting,20-55,"Encourage predators, use light traps; apply Chlorantraniliprole if high damage.",Standard NPK + Zinc.,"Folded leaves, scraped leaf tissues, white streaks, reduced photosynthesis.",Inspect leaves for folding; open folds to find larvae inside.,"Moderate rainfall, cloudy warm weather","Well-drained soil, high nitrogen increases impact",25.97185581,242.2223999,80.22757943,6.4,59.62294149,Low Humic Gley,2.653525606
2015,Maha,Anuradhapura,Bg 94-1,Rice Leaf-folder,9.491599421,Moderate,Tillering -Booting,20-55,"Encourage predators, use light traps; apply Chlorantraniliprole if high damage.",Standard NPK + Zinc.,"Folded leaves, scraped leaf tissues, white streaks, reduced photosynthesis.",Inspect leaves for folding; open folds to find larvae inside.,"Moderate rainfall, cloudy warm weather","Well-drained soil, high nitrogen increases impact",29.34147195,251.8076749,85.77658982,6.95,72.51719359,Reddish Brown Earth,2.52682039
2015,Maha,Anuradhapura,Suwandel,Sheath Blight,15.44561367,Moderate,Late tillering-Booting,30-55,"Improve air circulation, avoid dense planting; apply Hexaconazole or Validamycin.",Reduce nitrogen; apply Potash to strengthen plants.,"Oval lesions on leaf sheath, greyish-white patches, rapid spread during humid conditions.",Look for fungal lesions on lower sheath; check for spreading patches in humid fields.,"Very high humidity, dense canopy, continuous wetness","Poor drainage, high organic matter",26.7415821,313.378161,89.28560338,6.2,80,Low Humic Gley,2.666540142
2015,Maha,Anuradhapura,BG 358,Sheath Blight,1.794650824,Low,Late tillering-Booting,30-55,"Improve air circulation, avoid dense planting; apply Hexaconazole or Validamycin.",Reduce nitrogen; apply Potash to strengthen plants.,"Oval lesions on leaf sheath, greyish-white patches, rapid spread during humid conditions.",Look for fungal lesions on lower sheath; check for spreading patches in humid fields.,"Very high humidity, dense canopy, continuous wetness","Poor drainage, high organic matter",24.73446167,260.9354846,81.02280833,6.63,66.38333072,Reddish Brown Earth,3.927463509
